full_name,ticker,Date_YMD,TIME,open,high,low,close,volume
GBPSGD,GBPSGD,20200506,05:15:00,1.76115,1.762,1.7611,1.761875,0
GBPSGD,GBPSGD,20200506,06:00:00,1.761875,1.76245,1.761275,1.76195,0
GBPSGD,GBPSGD,20200506,07:00:00,1.76195,1.762625,1.76095,1.762375,0
GBPSGD,GBPSGD,20200506,08:00:00,1.762375,1.7637,1.7617,1.76295,0
GBPSGD,GBPSGD,20200506,09:00:00,1.76295,1.7636,1.76085,1.7615,0
GBPSGD,GBPSGD,20200506,10:00:00,1.7615,1.7626,1.761,1.7622,0
GBPSGD,GBPSGD,20200506,11:00:00,1.7622,1.7624,1.7613,1.76215,0
GBPSGD,GBPSGD,20200506,12:00:00,1.76215,1.7624,1.7611,1.761925,0
GBPSGD,GBPSGD,20200506,13:00:00,1.761925,1.761925,1.7605,1.761,0
GBPSGD,GBPSGD,20200506,14:00:00,1.761,1.761575,1.759775,1.761525,0
GBPSGD,GBPSGD,20200506,15:00:00,1.761525,1.763,1.7606,1.760725,0
GBPSGD,GBPSGD,20200506,16:00:00,1.760725,1.761575,1.754225,1.75585,0
GBPSGD,GBPSGD,20200506,17:00:00,1.75585,1.758225,1.7548,1.757825,0
GBPSGD,GBPSGD,20200506,18:00:00,1.757825,1.7589,1.7557,1.7559,0
GBPSGD,GBPSGD,20200506,19:00:00,1.7559,1.758075,1.7545,1.75785,0
GBPSGD,GBPSGD,20200506,20:00:00,1.75785,1.759175,1.7564,1.758,0
GBPSGD,GBPSGD,20200506,21:00:00,1.758,1.7586,1.7562,1.7565,0
GBPSGD,GBPSGD,20200506,22:00:00,1.7565,1.75705,1.7536,1.755775,0
GBPSGD,GBPSGD,20200506,23:00:00,1.755775,1.7561,1.75295,1.7537,0
GBPSGD,GBPSGD,20200507,00:00:00,1.7537,1.756675,1.753625,1.75505,0
GBPSGD,GBPSGD,20200507,01:00:00,1.75505,1.7559,1.75415,1.755,0
GBPSGD,GBPSGD,20200507,02:00:00,1.755,1.7551,1.75325,1.75345,0
GBPSGD,GBPSGD,20200507,03:00:00,1.75345,1.7543,1.753125,1.754,0
GBPSGD,GBPSGD,20200507,04:00:00,1.754,1.754975,1.753275,1.75465,0
GBPSGD,GBPSGD,20200507,05:15:00,1.753075,1.7556,1.75285,1.755275,0
GBPSGD,GBPSGD,20200507,06:00:00,1.755275,1.7567,1.75295,1.7541,0
GBPSGD,GBPSGD,20200507,07:00:00,1.7541,1.754425,1.7532,1.753325,0
GBPSGD,GBPSGD,20200507,08:00:00,1.753325,1.75365,1.750525,1.75125,0
GBPSGD,GBPSGD,20200507,09:00:00,1.75125,1.75145,1.74945,1.74995,0
GBPSGD,GBPSGD,20200507,10:00:00,1.74995,1.750775,1.74955,1.750375,0
GBPSGD,GBPSGD,20200507,11:00:00,1.750375,1.750475,1.74885,1.74985,0
GBPSGD,GBPSGD,20200507,12:00:00,1.74985,1.7506,1.74925,1.750075,0
GBPSGD,GBPSGD,20200507,13:00:00,1.750075,1.75225,1.749475,1.75185,0
GBPSGD,GBPSGD,20200507,14:00:00,1.75185,1.7595,1.751625,1.7594,0
GBPSGD,GBPSGD,20200507,15:00:00,1.7594,1.76095,1.75545,1.7557,0
GBPSGD,GBPSGD,20200507,16:00:00,1.7557,1.75645,1.753725,1.75385,0
GBPSGD,GBPSGD,20200507,17:00:00,1.75385,1.756325,1.75125,1.75335,0
GBPSGD,GBPSGD,20200507,18:00:00,1.75335,1.75595,1.752425,1.75475,0
GBPSGD,GBPSGD,20200507,19:00:00,1.75475,1.7555,1.750575,1.750975,0
GBPSGD,GBPSGD,20200507,20:00:00,1.750975,1.7532,1.7487,1.750925,0
GBPSGD,GBPSGD,20200507,21:00:00,1.750925,1.75185,1.7427,1.743375,0
GBPSGD,GBPSGD,20200507,22:00:00,1.743375,1.74375,1.74035,1.74305,0
GBPSGD,GBPSGD,20200507,23:00:00,1.74305,1.7481,1.74265,1.7476,0
GBPSGD,GBPSGD,20200508,00:00:00,1.7476,1.7495,1.7467,1.74775,0
GBPSGD,GBPSGD,20200508,01:00:00,1.74775,1.7502,1.74725,1.74965,0
GBPSGD,GBPSGD,20200508,02:00:00,1.74965,1.75045,1.747125,1.747475,0
GBPSGD,GBPSGD,20200508,03:00:00,1.747475,1.749375,1.7468,1.746975,0
GBPSGD,GBPSGD,20200508,04:00:00,1.746975,1.749375,1.746975,1.74915,0
GBPSGD,GBPSGD,20200508,05:15:00,1.749625,1.749625,1.748175,1.748175,0
GBPSGD,GBPSGD,20200508,06:00:00,1.748175,1.74995,1.74735,1.749175,0
GBPSGD,GBPSGD,20200508,07:00:00,1.749175,1.74975,1.748825,1.74895,0
GBPSGD,GBPSGD,20200508,08:00:00,1.74895,1.750025,1.7483,1.74945,0
GBPSGD,GBPSGD,20200508,09:00:00,1.74945,1.7511,1.749025,1.7508,0
GBPSGD,GBPSGD,20200508,10:00:00,1.7508,1.7514,1.7492,1.7514,0
GBPSGD,GBPSGD,20200508,11:00:00,1.7514,1.751525,1.7498,1.74995,0
GBPSGD,GBPSGD,20200508,12:00:00,1.74995,1.7503,1.7487,1.749225,0
GBPSGD,GBPSGD,20200508,13:00:00,1.749225,1.7518,1.7491,1.75095,0
GBPSGD,GBPSGD,20200508,14:00:00,1.75095,1.751375,1.7496,1.7498,0
GBPSGD,GBPSGD,20200508,15:00:00,1.7498,1.751,1.748275,1.750275,0
GBPSGD,GBPSGD,20200508,16:00:00,1.750275,1.75165,1.749625,1.7515,0
GBPSGD,GBPSGD,20200508,17:00:00,1.7515,1.7521,1.7488,1.75035,0
GBPSGD,GBPSGD,20200508,18:00:00,1.75035,1.7505,1.7483,1.7493,0
GBPSGD,GBPSGD,20200508,19:00:00,1.7493,1.750675,1.74855,1.7502,0
GBPSGD,GBPSGD,20200508,20:00:00,1.7502,1.752425,1.74785,1.74925,0
GBPSGD,GBPSGD,20200508,21:00:00,1.74925,1.750225,1.747925,1.749875,0
GBPSGD,GBPSGD,20200508,22:00:00,1.749875,1.7596,1.749575,1.7576,0
GBPSGD,GBPSGD,20200508,23:00:00,1.7576,1.758,1.7546,1.75535,0
GBPSGD,GBPSGD,20200509,00:00:00,1.75535,1.7554,1.753525,1.754275,0
GBPSGD,GBPSGD,20200509,01:00:00,1.754275,1.75475,1.754,1.7544,0
GBPSGD,GBPSGD,20200509,02:00:00,1.7544,1.7552,1.7533,1.7537,0
GBPSGD,GBPSGD,20200509,03:00:00,1.7537,1.75385,1.7522,1.7527,0
GBPSGD,GBPSGD,20200509,04:00:00,1.7527,1.754575,1.75225,1.754575,0
GBPSGD,GBPSGD,20200511,05:15:00,1.7531,1.7535,1.75175,1.75185,0
GBPSGD,GBPSGD,20200511,06:00:00,1.75185,1.7551,1.751325,1.75445,0
GBPSGD,GBPSGD,20200511,07:00:00,1.75445,1.754875,1.75365,1.754875,0
GBPSGD,GBPSGD,20200511,08:00:00,1.754875,1.7563,1.7534,1.7561,0
GBPSGD,GBPSGD,20200511,09:00:00,1.7561,1.7569,1.753775,1.754825,0
GBPSGD,GBPSGD,20200511,10:00:00,1.754825,1.7557,1.7545,1.75515,0
GBPSGD,GBPSGD,20200511,11:00:00,1.75515,1.7554,1.754,1.7552,0
GBPSGD,GBPSGD,20200511,12:00:00,1.7552,1.7557,1.75475,1.7553,0
GBPSGD,GBPSGD,20200511,13:00:00,1.7553,1.7558,1.7537,1.75435,0
GBPSGD,GBPSGD,20200511,14:00:00,1.75435,1.7562,1.753275,1.75495,0
GBPSGD,GBPSGD,20200511,15:00:00,1.75495,1.75505,1.7502,1.7504,0
GBPSGD,GBPSGD,20200511,16:00:00,1.7504,1.75115,1.746425,1.7504,0
GBPSGD,GBPSGD,20200511,17:00:00,1.7504,1.751175,1.748275,1.751,0
GBPSGD,GBPSGD,20200511,18:00:00,1.751,1.7512,1.74575,1.746025,0
GBPSGD,GBPSGD,20200511,19:00:00,1.746025,1.7461,1.742425,1.742675,0
GBPSGD,GBPSGD,20200511,20:00:00,1.742675,1.74555,1.741075,1.74275,0
GBPSGD,GBPSGD,20200511,21:00:00,1.74275,1.75005,1.74275,1.7495,0
GBPSGD,GBPSGD,20200511,22:00:00,1.7495,1.751725,1.74635,1.7513,0
GBPSGD,GBPSGD,20200511,23:00:00,1.7513,1.751875,1.747075,1.748,0
GBPSGD,GBPSGD,20200512,00:00:00,1.748,1.7498,1.7476,1.74935,0
GBPSGD,GBPSGD,20200512,01:00:00,1.74935,1.74995,1.7486,1.7489,0
GBPSGD,GBPSGD,20200512,02:00:00,1.7489,1.749275,1.74705,1.7483,0
GBPSGD,GBPSGD,20200512,03:00:00,1.7483,1.748925,1.747125,1.748275,0
GBPSGD,GBPSGD,20200512,04:00:00,1.748275,1.749175,1.7476,1.748175,0
GBPSGD,GBPSGD,20200512,05:15:00,1.747525,1.749175,1.7472,1.748125,0
GBPSGD,GBPSGD,20200512,06:00:00,1.748125,1.748575,1.747725,1.7483,0
GBPSGD,GBPSGD,20200512,07:00:00,1.7483,1.749,1.74765,1.747875,0
GBPSGD,GBPSGD,20200512,08:00:00,1.747875,1.74805,1.745325,1.7474,0
GBPSGD,GBPSGD,20200512,09:00:00,1.7474,1.7481,1.7464,1.7468,0
GBPSGD,GBPSGD,20200512,10:00:00,1.7468,1.747675,1.7461,1.747575,0
GBPSGD,GBPSGD,20200512,11:00:00,1.747575,1.7484,1.7474,1.748175,0
GBPSGD,GBPSGD,20200512,12:00:00,1.748175,1.748325,1.7465,1.74815,0
GBPSGD,GBPSGD,20200512,13:00:00,1.74815,1.749675,1.7474,1.7479,0
GBPSGD,GBPSGD,20200512,14:00:00,1.7479,1.748725,1.7464,1.74835,0
GBPSGD,GBPSGD,20200512,15:00:00,1.74835,1.749475,1.748,1.7493,0
